철도운영기관명,선명,역명,역간거리
코레일,경의중앙,공덕,1
코레일,경의중앙,양원(서울시북부병원),1.7
코레일,경의중앙,회기,1.4
코레일,경의중앙,서울역,0
코레일,경의중앙,야당,2
코레일,경의중앙,신원,4.7
코레일,경의중앙,국수,2.9
코레일,경의중앙,망우,0.6
코레일,경의중앙,강매,2.4
코레일,경의중앙,곡산,1.7
코레일,경의중앙,용산,
코레일,경의중앙,이촌,1.9
코레일,경의중앙,서빙고,
코레일,경의중앙,한남,1.9
코레일,경의중앙,옥수,1.6
코레일,경의중앙,중랑,0.8
코레일,경의중앙,구리,3.2
코레일,경의중앙,도농,1.7
코레일,경의중앙,양정,3.7
코레일,경의중앙,덕소,2.3
코레일,경의중앙,팔당,4.2
코레일,경의중앙,운길산,6.4
코레일,경의중앙,양수,1.9
코레일,경의중앙,아신(아세아연합신학대),4.1
코레일,경의중앙,오빈,2.8
코레일,경의중앙,원덕(추읍산),5.8
코레일,경의중앙,용문,5.8
코레일,경의중앙,지평,3.6
코레일,경의중앙,청량리,2.4
코레일,경의중앙,효창공원앞,1.5
코레일,경의중앙,서강대,1.9
코레일,경의중앙,홍대입구,0.9
코레일,경의중앙,가좌,1.7
코레일,경의중앙,디지털미디어시티,1.7
코레일,경의중앙,수색,0.6
코레일,경의중앙,행신,1
코레일,경의중앙,능곡,1.5
코레일,경의중앙,풍산,1.7
코레일,경의중앙,일산,1.9
코레일,경의중앙,탄현,1.7
코레일,경의중앙,운정,3.1
코레일,경의중앙,금촌,2.1
코레일,경의중앙,월롱(서영대학교),4.1
코레일,경의중앙,파주(두원대학),2.2
코레일,경의중앙,문산,4.4
코레일,경의중앙,운천,
코레일,경의중앙,도라산,3.7
코레일,경의중앙,신촌,3.1
코레일,경의중앙,응봉,1.8
코레일,경의중앙,상봉,0.8
코레일,경의중앙,도심,1.5
코레일,경의중앙,양평,2.2
코레일,경의중앙,왕십리,1.4
코레일,경의중앙,화전(한국항공대),3.4
코레일,경의중앙,대곡,1.8
코레일,경의중앙,백마,1.6
코레일,경의중앙,금릉,3.1
코레일,경의중앙,임진강,6
