stations,MLR_weekday,MLR_weekend,SVR_weekday,SVR_weekend,RF_weekday,RF_weekend
석촌,3.595375968308988,3.502997724817278,0.24378293103803667,0.2665685713251396,1.835273034571428,2.1158870625000006
올림픽공원,1.9464025734692272,0.2593143052335599,0.7232321342436134,1.2398444294852564,5.53516979058937,0.7912565413794337
종합운동장,4.722528609644175,1.2878584728187012,1.527880293909532,3.2540155352488913,7.39230591,2.7864441250000005
잠실,10.01034627730993,10.750113045076311,18.338174512578075,17.327728215124434,3.3093296999999886,4.589233500000001
송파,1.914030573469227,1.9233893171495535,1.0384978559495819,0.7628508015134269,1.0733947735470644,0.5381284419882202
둔촌동,0.5623735734692269,0.12066430523355993,1.1712293764691195,0.6753671384982427,0.25819093314538943,0.13472107382286785
방이,0.879992573469227,0.37112681714955364,1.4888483764691194,0.9511296384982426,0.5758099331453895,0.4104835738228679
잠실새내,2.031590252555843,0.6877249080764916,2.193507868666457,1.9341457325258882,0.529761420000002,0.68071725
삼성,5.68828373066102,2.883103695322497,10.199260894192916,5.724364888360872,3.00712411,1.5073403749999998
선정릉,0.49019333349969757,0.6252074464334081,0.7587688498087625,0.14413603074413894,1.6785118900000007,1.139107125
