역명,월,화,수,목,금,토,일
석촌,33563.6,34568.0,32164.4,30847.75,35296.5,27759.75,19909.5
올림픽공원,23216.8,25177.0,25065.0,22298.0,26263.5,36432.5,30699.5
종합운동장,36310.6,66103.0,43444.4,42349.5,46414.25,57840.75,49591.0
잠실,201611.0,216267.4,209051.2,204577.75,243635.25,227297.25,161612.0
송파,21875.6,22027.0,20544.8,19677.5,22106.0,15623.25,11444.75
둔촌동,20177.2,20489.0,19452.8,18409.75,21045.0,15843.25,12969.25
방이,16885.6,17499.6,16170.6,15689.5,17447.5,13559.75,9737.5
잠실새내,52769.2,55664.4,51426.4,49607.75,58420.75,49195.5,31835.0
삼성,130480.4,139336.6,127904.4,125050.0,145407.25,90159.75,66676.0
선정릉,40914.2,42220.2,36814.2,35177.25,41010.0,24374.5,15081.0
